created_at,username,tweet,web,location
Wed Oct 13 02:56:56 +0000 2021,igissan,"@schfess sampai sekarang masih inget rasa sakit nya mundur, 2 kali (SMP-SMA) dilempar karna zonasi, waktu SD aku capek belajar eh katanya yang zonasi lebih diutamakan jadi aku pergi ke sekolah lain yang alhamdulilah aku betah, SMA ini ya Allah sakit sesakit sakit nya🙏☺️",https:twitter.com/igissan/status/1448120540242366466,
Wed Oct 13 02:55:06 +0000 2021,padukachanyeol,@schfess HAHAHAHAH KM GA IKHLAS SAMA ZONASI?! SAMA ANJENGGGG GA RIDHO BNGT KALAH ZONA MASUK KE SEKOLAH BUSUK GAJELAS GURU NYA GA JELAS SEKOLAHNYA GAJELAS SEMUANYA GAJELAS,https:twitter.com/padukachanyeol/status/1448120081058172929,johfam ▪︎ chanbaekist ▪︎ cons
Wed Oct 13 02:52:15 +0000 2021,schfess,Sch! Masih tidak ikhlas dengan zonasi https://t.co/VCK3VYvAoi,https:twitter.com/schfess/status/1448119362326519809,RULES & Links 👉
Wed Oct 13 02:27:54 +0000 2021,Apede16,"12 Peta zonasi risiko daerah dihitung berdasarkan indikator-indikator kesehatan masyarakat dengan menggunakan skoring dan pembobotan #ZonaHijauTetapProkes
https://t.co/CbuhP5gN6W",https:twitter.com/Apede16/status/1448113236524425219,seminyak
Wed Oct 13 02:27:45 +0000 2021,Apede16,"5 Untuk daerah zona hijau dengan status tidak terdampak covid-19, tidak lagi tercatat dalam peta zonasi #ZonaHijauTetapProkes
https://t.co/h7VjTXNRv2",https:twitter.com/Apede16/status/1448113195705536516,seminyak
Wed Oct 13 02:11:04 +0000 2021,dnthvbyfrnd_,FAK he's bekasian ngl i'll date him cinta zonasi https://t.co/PW4b0xoPcE,https:twitter.com/dnthvbyfrnd_/status/1448109000273375233,she/her | naura
Wed Oct 13 02:10:51 +0000 2021,Nhurulku19,"12. Peta zonasi risiko daerah dihitung berdasarkan indikator-indikator kesehatan masyarakat dengan menggunakan skoring dan pembobotan. #ZonaHijauTetapProkes
https://t.co/3YwvOTO1YY",https:twitter.com/Nhurulku19/status/1448108942572277763,
Wed Oct 13 02:08:39 +0000 2021,Nhurulku19,"5. Untuk daerah zona hijau dengan status tidak terdampak covid-19, tidak lagi tercatat dalam peta zonasi. #ZonaHijauTetapProkes
https://t.co/q5z2mBvwDQ",https:twitter.com/Nhurulku19/status/1448108389616263172,
Wed Oct 13 02:07:50 +0000 2021,sinosijac,"@schfess ini ppdb jakarta bukan? sepengalamanku, ppdb jakarta kalau lewat zonasi itu berdasarkan rt/rw terdekat sekolah, bukan berdasarkan meternya. tapi aku gak tahu ya soal ppdb wilayah lain, semangat utk adeknya semoga masuk sekolah yang diinginkan.",https:twitter.com/sinosijac/status/1448108186855223297,"she/her, harshword."
Wed Oct 13 02:07:16 +0000 2021,DebbieTambunan,"@schfess Temen sekelas anakku ada yg lahir bulan 9 nder. Tenang aja. Lagian kalo zonasi kan diurutkan jarak, baru kmdn umur",https:twitter.com/DebbieTambunan/status/1448108044055896076,Purworejo
Wed Oct 13 02:03:58 +0000 2021,corinasocialy,"12. Peta zonasi risiko daerah dihitung berdasarkan indikator-indikator kesehatan masyarakat dengan menggunakan skoring dan pembobotan #ZonaHijauTetapProkes
https://t.co/V6F42bdyrF",https:twitter.com/corinasocialy/status/1448107211620769803,
Wed Oct 13 02:03:51 +0000 2021,corinasocialy,"5. Untuk daerah zona hijau dengan status tidak terdampak covid-19, tidak lagi tercatat dalam peta zonasi #ZonaHijauTetapProkes
https://t.co/JK1iM2dx9J",https:twitter.com/corinasocialy/status/1448107181610471430,
Wed Oct 13 02:03:19 +0000 2021,BPPemiluPDIPDKI,Ansy Kritisi Zonasi Labuan Bajo Abaikan Konservasi https://t.co/1n7jyrlq3M https://t.co/V8tbedl99d,https:twitter.com/BPPemiluPDIPDKI/status/1448107049309536256,"DKI Jakarta, Indonesia"
Wed Oct 13 02:03:17 +0000 2021,KangSirmadji,Ansy Kritisi Zonasi Labuan Bajo Abaikan Konservasi https://t.co/MkUkF73iWs https://t.co/nLPHFHVCNd,https:twitter.com/KangSirmadji/status/1448107038760833027,"Malang, Jawa Timur"
Wed Oct 13 02:01:46 +0000 2021,sriutamy29,"12. Peta zonasi risiko daerah dihitung berdasarkan indikator-indikator kesehatan masyarakat dengan menggunakan skoring dan pembobotan. #ZonaHijauTetapProkes
https://t.co/8EgGeJOGj4",https:twitter.com/sriutamy29/status/1448106658236751873,
Wed Oct 13 02:00:06 +0000 2021,sriutamy29,"5. Untuk daerah zona hijau dengan status tidak terdampak covid-19, tidak lagi tercatat dalam peta zonasi. #ZonaHijauTetapProkes
https://t.co/jBjl0PUJGw",https:twitter.com/sriutamy29/status/1448106237212577794,
Wed Oct 13 01:59:26 +0000 2021,Anak_Senja90,"Peta zonasi risiko daerah dihitung berdasarkan indikator-indikator kesehatan masyarakat dengan menggunakan skoring dan pembobotan. #ZonaHijauTetapProkes
https://t.co/Zk0gaFAduZ",https:twitter.com/Anak_Senja90/status/1448106070786854917,"Denpasar Selatan, Indonesia"
Wed Oct 13 01:56:30 +0000 2021,Anak_Senja90,"Untuk daerah zona hijau dengan status tidak terdampak covid-19, tidak lagi tercatat dalam peta zonasi. #ZonaHijauTetapProkes
https://t.co/OpOBlBXxWd",https:twitter.com/Anak_Senja90/status/1448105334485176322,"Denpasar Selatan, Indonesia"
Wed Oct 13 01:53:46 +0000 2021,TempoeDoeloee,"Peta zonasi risiko daerah dihitung berdasarkan indikator-indikator kesehatan masyarakat dengan menggunakan skoring dan pembobotan. #ZonaHijauTetapProkes
https://t.co/mxIKFkGWcR",https:twitter.com/TempoeDoeloee/status/1448104643112816640,
Wed Oct 13 01:53:41 +0000 2021,TempoeDoeloee,"Untuk daerah zona hijau dengan status tidak terdampak covid-19, tidak lagi tercatat dalam peta zonasi. #ZonaHijauTetapProkes
https://t.co/v2V1eN3meV",https:twitter.com/TempoeDoeloee/status/1448104625408815108,
Wed Oct 13 01:18:53 +0000 2021,redvelvetcrml,"RT @ttlindonesia: Daftar kuliah akan pakai sistem zonasi?!

Ga perlu kaget. SNMPTN itu juga ada zonasi-zonasinya kok. Yang keterima di SNMP…",https:twitter.com/redvelvetcrml/status/1448095866733187077,
Wed Oct 13 00:55:10 +0000 2021,haechrome,FAK if hes bekasian probably i'll date him cinta zonasi https://t.co/e8lZ0NVNuf,https:twitter.com/haechrome/status/1448089899190689792,she/they ; rant !!
Wed Oct 13 00:15:09 +0000 2021,JM__018,RT @pemkabbantul: Zonasi Resiko Kasus Covid-19 Kabupaten Bantul dengan perhitungan bobot indikator kesehatan masyarakat yang terdiri dari E…,https:twitter.com/JM__018/status/1448079827857203200,Bantul Projotamansari JM180891
Tue Oct 12 23:51:35 +0000 2021,itssrok,@ndasmu___ zonasi biasane,https:twitter.com/itssrok/status/1448073898063548423,AA
Tue Oct 12 23:23:16 +0000 2021,My_EXL,"@orangbiasamales efek sekolah daftar berdasarkan zonasi.
kalo reunian ketemunya tetangga sebelah",https:twitter.com/My_EXL/status/1448066770619748352,indonesia
Tue Oct 12 22:52:23 +0000 2021,fatkhulngalim_,@ndasmu___ zonasi ngab,https:twitter.com/fatkhulngalim_/status/1448058997492224001,
Tue Oct 12 17:47:45 +0000 2021,jatengtodaycom,"Dianggap Tak Sesuai DED, Pedagang Johar Tolak Zonasi Dipisah-pisah https://t.co/yAH9s9oUfw",https:twitter.com/jatengtodaycom/status/1447982335476092938,"Central Java, Indonesia"
Tue Oct 12 16:53:30 +0000 2021,denypramuditya,"RT @hanif_aa: Seratus tempat makan rekomendasi @drhaltekehalte yang telah diurutkan berdasarkan zonasi. Silakan diunduh gambarnya, mudah-mu…",https:twitter.com/denypramuditya/status/1447968684060733450,Jakarta Capital Region
Tue Oct 12 16:06:45 +0000 2021,vultschlange,"RT @hanif_aa: Seratus tempat makan rekomendasi @drhaltekehalte yang telah diurutkan berdasarkan zonasi. Silakan diunduh gambarnya, mudah-mu…",https:twitter.com/vultschlange/status/1447956917180010497,
Tue Oct 12 15:46:50 +0000 2021,heyytou,"Masuk dalam zonasi Treder/Trading
Mental lu itu di bakalan di bayar secara langsung,klo lu ngerti prinsip dasar sabar/jaga money management.",https:twitter.com/heyytou/status/1447951904609165312,
Tue Oct 12 15:10:06 +0000 2021,kudabebas99,"RT @hanif_aa: Seratus tempat makan rekomendasi @drhaltekehalte yang telah diurutkan berdasarkan zonasi. Silakan diunduh gambarnya, mudah-mu…",https:twitter.com/kudabebas99/status/1447942662930239490,
Tue Oct 12 15:05:39 +0000 2021,nataliemportman,"+Sadəcə bunu bil ki bu dünyada mənim kimi minlərcə insanın ən böyük comfort zonası təsəllisisən.Buna görədə ömrüm boyunca sənə minnəttar olacam və sevəcəm. İ lobe you soo much than you think💜 
#JIMINDAY #HappyJiminDay #LightOfOctober
#1013Serendipity #OurAngelJimin",https:twitter.com/nataliemportman/status/1447941539322384388,Azerbaijan
